%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702028662429153934,332,1702028662428627014,base_link,-0.14905013137261908,0.22939149986224083,-0.8642901237635097,-0.42209735854849123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020691625773906708,-0.002037147991359234,0.004189629107713699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3160445468341475,-2.5628526284318416,8.416860808798209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662435053614,333,1702028662434599161,base_link,-0.14905013137261908,0.22939149986224083,-0.8642901237635097,-0.42209735854849123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01642996445298195,0.002223920077085495,-0.002201968804001808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33345134370449,-2.589052476435643,8.399881351900646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662438156213,334,1702028662437857627,base_link,-0.14900791097087063,0.22942287993657473,-0.8642788176171986,-0.4221183602355175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01642996445298195,0.002223920077085495,-0.002201968804001808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33345134370449,-2.589052476435643,8.399881351900646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662441665534,335,1702028662441269159,base_link,-0.14900791097087063,0.22942287993657473,-0.8642788176171986,-0.4221183602355175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02175586298108101,9.362027049064636e-05,-0.012854641303420067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344579757066774,-2.573306754760223,8.39897131084462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662444750638,336,1702028662444492816,base_link,-0.14900428147489567,0.22944442914371466,-0.8642341762351521,-0.4221993210134437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02175586298108101,9.362027049064636e-05,-0.012854641303420067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344579757066774,-2.573306754760223,8.39897131084462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662448238794,337,1702028662447928905,base_link,-0.14900428147489567,0.22944442914371466,-0.8642341762351521,-0.4221993210134437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020690297707915306,-0.004167003557085991,-0.014985216781497002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.360894378049322,-2.591634228995571,8.384869244454345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662451538428,338,1702028662451158046,base_link,-0.14902035565525795,0.22945788022998978,-0.8641885480098777,-0.4222797275377065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020690297707915306,-0.004167003557085991,-0.014985216781497002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.360894378049322,-2.591634228995571,8.384869244454345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662454812901,339,1702028662454572916,base_link,-0.14902035565525795,0.22945788022998978,-0.8641885480098777,-0.4222797275377065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008972074836492538,-0.007362221367657185,-0.023507453501224518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347676140018587,-2.5815279883562936,8.39484516991506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662458078895,340,1702028662457801580,base_link,-0.14906091270254224,0.22944479809917306,-0.8641335988566203,-0.4223849574222792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008972074836492538,-0.007362221367657185,-0.023507453501224518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347676140018587,-2.5815279883562936,8.39484516991506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662461513903,341,1702028662461243391,base_link,-0.14906091270254224,0.22944479809917306,-0.8641335988566203,-0.4223849574222792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002580198459327221,-0.010557232424616814,-0.026703452691435814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.411719833498258,-2.506006221741491,8.384310402609808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
